Family;Genus;Species;SVL;Mass
Elapidae;Leioselasma;elegans;1980;2450
Elapidae;Micrurus;frontalis;692;80
Elapidae;Micrurus;ibiboboca;681.5;48.5
Elapidae;Micrurus;lemniscatus;734;38.5
Elapidae;Micrurus;tener;610;33.8
Elapidae;Naja;atra;1166.3;311.1
Elapidae;Naja;naja;1843.5;1497.5
Elapidae;Naja;nigricollis;1250;256.7
Elapidae;Notechis;scutatus;870;226
Elapidae;Oxyuranus;microlepidotus;1660;838
Elapidae;Oxyuranus;scutellatus;2100;753
Elapidae;Pelamis;platura;637;30
Elapidae;Pseudechis;australis;1440;642
Elapidae;Pseudechis;porphyriacus;766;304
Elapidae;Pseudolaticauda;semifasciata;1020;641
Elapidae;Pseudonaja;affinis;1070;368
Elapidae;Pseudonaja;nuchalis;1380;464
Elapidae;Pseudonaja;textilis;1360;469
Elapidae;Rhinoplocephalus;bicolor;340;17.4
Elapidae;Simoselaps;fasciolatus;291;9.5
Elapidae;Simoselaps;incinctus;278;11.5
Elapidae;Simoselaps;littoralis;215;7.75
Elapidae;Suta;flagellum;256;7.05
Elapidae;Tropidechis;carinatus;821;170
Elapidae;Vermicella;annulata;482;14.5
Elapidae;Walterinnesia;aegyptia;927.3;320.6
Homalopsidae;Cerberus;australis;500;36.8
Homalopsidae;Cerberus;rynchops;500;36.5
Homalopsidae;Enhydris;jagorii;621.6;245
Homalopsidae;Enhydris;polylepis;664;132
Homalopsidae;Enhydris;subtaeniata;645;232.2
Homalopsidae;Fordonia;leucobalia;528;96.8
Homalopsidae;Gerarda;prevostiana;420;23.2
Homalopsidae;Homalopsis;buccata;953.9;347.2
Lamprophiidae;Amblyodipsas;polylepis;571.5;81.5
Lamprophiidae;Amblyodipsas;ventrimaculata;322;7.4
Lamprophiidae;Atractaspis;aterrima;522;27.5
Lamprophiidae;Atractaspis;bibronii;484.5;34.3
Lamprophiidae;Atractaspis;engaddensis;664.2;57.5
Lamprophiidae;Atractaspis;irregularis;434;21.2
Lamprophiidae;Atractaspis;microlepidota;743;93.5
Lamprophiidae;Boaedon;fuliginosus;725;50.9
Lamprophiidae;Homoroselaps;lacteus;520;21.3
Lamprophiidae;Lycodonomorphus;rufulus;565;33.1
Lamprophiidae;Macrelaps;microlepidotus;771.5;176.6
Lamprophiidae;Malpolon;monspessulanus;1484;1257
Lamprophiidae;Micrelaps;muelleri;383;7.7
Lamprophiidae;Micrelaps;tchernovi;340;3
